Date,401(k),AC power plugs and sockets,Abercrombie & Fitch,Academic degree,Account,Acushnet Company,Adhesive,Adhesive tape,Administrative assistant,Aerial work platform,Aerosol spray,Aetna,Afton Chemical,Agricultural machinery,Agriculture,Air brake,Air conditioner,Air conditioning,Air fryer,Air purifier,Aircraft,Aircraft seat map,Airline ticket,Airplane,Airport,Albemarle Corporation,Alcoa,Alcoholic drink,AliExpress,Alibaba Group,All-terrain vehicle,Allen Edmonds,Aluminium,Aluminum can,Amazon Prime,Amazon Prime Video,Amazon.com,"America's Car-Mart, Inc.",American Eagle Outfitters,American Express,American football,Ampere,Anchor,Ann Inc.,Antibiotics,Antifreeze,Antique shop,Apartment,Apple,Apple Watch,Application for employment,Apprenticeship,"AptarGroup, Inc.",Architect,Architecture,Arena,Artificial cardiac pacemaker,Ascena Retail Group,Asphalt,Asphalt concrete,Asphalt roll roofing,Assisted living,At Home,AutoNation,AutoZone,Automated teller machine,Automatic transmission fluid,Automation,Automobile repair shop,Automotive aftermarket,Automotive industry,Automotive paint,Avery Dennison,Aviation,Axle
4/2/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/3/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/4/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/5/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/6/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/7/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/8/2017,0.144144144,0.091764706,-0.130136986,0.060064935,0.124681934,-0.029069767,0.464705882,0.127134725,-0.00907441,0.059196617,0.026548673,0.06281407,-0.194029851,-0.053435115,-0.022222222,0.041758242,0.1,0.050420168,3.222222222,0.108333333,-0.024305556,-0.127596439,0.029239766,0.049382716,0.06846473,0.6,-0.440227704,0.03187251,-0.268258427,0.010067114,-0.065259117,0,-0.009202454,0.034836066,0.225,0.356521739,0.110814419,0.014634146,0.109489051,-0.093184979,0.017857143,0.0112,0,0.101895735,0.045454545,0.007843137,0.039697543,-0.019858156,-0.085714286,0.28030303,-0.028938907,0.007736944,0.296511628,-0.024324324,0.004149378,-0.070175439,0.039655172,0.451612903,0.007782101,-0.041189931,-0.237804878,0.027568922,0.248484848,0.096014493,-0.044308633,0.213592233,0.077854671,0.181146026,-0.019169329,-0.044654939,-0.030985915,-0.118380062,0.022556391,-0.009917355,0.00309119
4/9/2017,0.107692308,0.086247086,-0.119453925,0.057877814,0.124681934,0.038888889,0.459302326,0.15047619,0.009025271,0.053169734,0.034682081,0.055415617,-0.194029851,-0.109974425,-0.029166667,0.051948052,0.184210526,0.120967742,3.222222222,0.108333333,0,-0.150724638,0.053254438,0.100737101,0.068322981,0.751322751,-0.486111111,0.031620553,-0.263988522,0.010067114,-0.053639847,0.007009346,-0.010719755,-0.003853565,0.225,0.368888889,0.126005362,0.014742015,0.152416357,-0.082748948,-0.034482759,-0.001582278,-0.007968127,0.074592075,0.041493776,0.027667984,0.028680688,-0.014144272,-0.067961165,0.25,-0.041009464,-0.020992366,0.321917808,-0.025232404,-0.010928962,-0.100217865,0.035958904,0.583333333,-0.009380863,-0.028138528,-0.13836478,0.04,0.28313253,0.100364964,-0.0237366,0.211031175,0.082474227,0.175824176,0.004830918,-0.032608696,-0.063711911,-0.115562404,0.013307985,0.009966777,0.01065449
4/10/2017,0.107692308,0.086247086,-0.119453925,0.057877814,0.124681934,0.038888889,0.459302326,0.15047619,0.009025271,0.053169734,0.034682081,0.055415617,-0.194029851,-0.109974425,-0.029166667,0.051948052,0.184210526,0.120967742,3.222222222,0.108333333,0,-0.150724638,0.053254438,0.100737101,0.068322981,0.751322751,-0.486111111,0.031620553,-0.263988522,0.010067114,-0.053639847,0.007009346,-0.010719755,-0.003853565,0.225,0.368888889,0.126005362,0.014742015,0.152416357,-0.082748948,-0.034482759,-0.001582278,-0.007968127,0.074592075,0.041493776,0.027667984,0.028680688,-0.014144272,-0.067961165,0.25,-0.041009464,-0.020992366,0.321917808,-0.025232404,-0.010928962,-0.100217865,0.035958904,0.583333333,-0.009380863,-0.028138528,-0.13836478,0.04,0.28313253,0.100364964,-0.0237366,0.211031175,0.082474227,0.175824176,0.004830918,-0.032608696,-0.063711911,-0.115562404,0.013307985,0.009966777,0.01065449
4/11/2017,0.107692308,0.086247086,-0.119453925,0.057877814,0.124681934,0.038888889,0.459302326,0.15047619,0.009025271,0.053169734,0.034682081,0.055415617,-0.194029851,-0.109974425,-0.029166667,0.051948052,0.184210526,0.120967742,3.222222222,0.108333333,0,-0.150724638,0.053254438,0.100737101,0.068322981,0.751322751,-0.486111111,0.031620553,-0.263988522,0.010067114,-0.053639847,0.007009346,-0.010719755,-0.003853565,0.225,0.368888889,0.126005362,0.014742015,0.152416357,-0.082748948,-0.034482759,-0.001582278,-0.007968127,0.074592075,0.041493776,0.027667984,0.028680688,-0.014144272,-0.067961165,0.25,-0.041009464,-0.020992366,0.321917808,-0.025232404,-0.010928962,-0.100217865,0.035958904,0.583333333,-0.009380863,-0.028138528,-0.13836478,0.04,0.28313253,0.100364964,-0.0237366,0.211031175,0.082474227,0.175824176,0.004830918,-0.032608696,-0.063711911,-0.115562404,0.013307985,0.009966777,0.01065449
